seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-DPM,0.6607684412115712,0.7666431446104692,0.5065735956297969,0.6607684412115712,0.6557065930660383,0.649382653506855,0.6435240407647446,0.6380470760232553,0.6342435521689956,0.6292493822863435,0.624864057853428,0.614735366770196,0.6025956247121856,0.5866551947136085,0.5652139847412477,0.5357943013908628,0.501609692383419,0.45222173416404715,0.37864504378025776,0.2774920064281356,0.15573497670223171,0.03688434887012038,0.5180720037651337,0.7298235464275383,0.7190494442315063,0.7085714285714285,0.6959727736812252,0.68419076229816,0.6778900112233446,0.6705466058292205,0.6615726590719644,0.6431580875618245,0.6222081562528258,0.5989304812834224,0.5635349485793969,0.5205967113070011,0.472664587095715,0.40298740908735436,0.31631080783623156,0.21085313174946005,0.10088365243004419,0.019665795157440037,0.5273374210355318,0.5982472544745712,0.5979437709597107,0.5951380674857316,0.5950278612937012,0.59501544547954,0.5934073032614892,0.5904955474617515,0.5901923023009623,0.5875687151671887,0.5836012968861176,0.5746314943713784,0.5668980235430233,0.5514355491839276,0.5323273423952035,0.5074711820736024,0.4532632639400154,0.3651916999886327,0.24040944577480178,0.0691787532963323,0.5151286483861938,0.7660931174089068,0.7595141700404858,0.7530364372469636,0.7451417004048583,0.7376518218623481,0.7336032388663968,0.7288461538461538,0.7229757085020243,0.7107287449392713,0.6964574898785425,0.680161943319838,0.6544534412955466,0.6216599190283401,0.5827935222672065,0.5215587044534413,0.436336032388664,0.31619433198380564,0.16639676113360324,0.03502024291497976,0.598348604304283,0.9390818858560794,0.9310173697270472,0.9230769230769231,0.9133995037220843,0.9042183622828784,0.8992555831265509,0.893424317617866,0.8862282878411911,0.8712158808933003,0.8537220843672456,0.8337468982630273,0.8022332506203474,0.7620347394540943,0.7143920595533498,0.6393300248138958,0.534863523573201,0.38759305210918116,0.20397022332506204,0.04292803970223325,0.7334595794697663,0.645700646851908,0.6463816530409822,0.6428140160825846,0.643270739382414,0.6439239723154561,0.6428579750134472,0.64074698433526,0.6409219856821088,0.6398836125912458,0.6379945964246693,0.6325405958623886,0.6288156252034339,0.6201928821028903,0.6078449608909047,0.5921191375225412,0.5503161981049925,0.46997123350773695,0.3468358068813801,0.12437914391370265,0.5788164087215814,0.8191820849783235,0.8203240934683819,0.8184368345709306,0.8190109898429421,0.8200759304410391,0.8195798293743205,0.8167391172059795,0.8140444339270277,0.8091227678763335,0.8029655873367004,0.7934599586652563,0.7811502088612666,0.7624361236080839,0.7376085837623968,0.7016823516126465,0.6437371599170745,0.5405447310390329,0.3743262246166251,0.12876026464462773,0.7170098566183678,0.7666431446104692,0.7727054361194524,0.7782613688002884,0.7846172257577487,0.7903169989091361,0.793195553423608,0.79623495486088,0.799649092226492,0.8060395783275951,0.8128474685832079,0.8196904124904293,0.8292860236337299,0.8400409010193733,0.8509455588914567,0.8655935535941881,0.8831697987975983,0.9046920541155535,0.9314860318378176,0.963418456892471,0.8309912427837629,0.6769882599881211,0.673904122951732,0.6694480189002715,0.6658679090875718,0.6625060206475254,0.6597920275659616,0.6560338471685562,0.6532187213395518,0.6462213053562659,0.6375370532911538,0.6251739549152854,0.6091045578317202,0.5854958401688509,0.5569891622586941,0.5144667261055514,0.4447191183377685,0.33981104399936163,0.2000083826314578,0.04922049110881579,0.5540266612449588,7569.0,7504.0,7440.0,7362.0,7288.0,7248.0,7201.0,7143.0,7022.0,6881.0,6720.0,6466.0,6142.0,5758.0,5153.0,4311.0,3124.0,1644.0,346.0,5911.684210526316,2311.0,2376.0,2440.0,2518.0,2592.0,2632.0,2679.0,2737.0,2858.0,2999.0,3160.0,3414.0,3738.0,4122.0,4727.0,5569.0,6756.0,8236.0,9534.0,3968.315789473684,491.0,556.0,620.0,698.0,772.0,812.0,859.0,917.0,1038.0,1179.0,1340.0,1594.0,1918.0,2302.0,2907.0,3749.0,4936.0,6416.0,7714.0,2148.315789473684,0.5969635627530364,0.8130474757507007,0.6032388663967612,0.7095141700404858,0.869727047146402,0.4339622641509434,0.37735849056603776,0.18867924528301888,0.46431809767332105,0.7814938684503902,1.75,0.6030574502338565,5699.462805012412,7010,2870,1050,62,23,20,10,87.0,600,0.6136008918617615,0.557085020242915,0.68287841191067,5504,4376,2556,25.587896600484992,0.3603929098659858,196.48537061970018,0.6571417077581946,89,53,299,8060,9880,89,53
MOT17-04-DPM,0.9155986337561033,0.8697142735677587,0.7963092006368216,0.9155986337561033,0.915448398607062,0.9152062250054779,0.9150614627122758,0.9145740916623644,0.9143153592065791,0.913615421278446,0.9126586195801083,0.9106554706787089,0.9084928881609632,0.9037421262576038,0.8956210882219131,0.8764831085911472,0.8510393995673048,0.8057789650337932,0.7208560408650979,0.5752803645976421,0.34984128522753777,0.10812384363819508,0.8011785680341222,0.9242994395516413,0.923683368016648,0.9226830926762929,0.9222986483244021,0.9217606844440891,0.9214534116800576,0.920532182668105,0.9193052505490118,0.9162447677895157,0.9125850475470497,0.9040998217468805,0.8917355371900827,0.869007348652747,0.8352550397067807,0.7755328186754331,0.6756954612005857,0.5157028441697673,0.28194255540443236,0.05925517849272807,0.7901617104466447,0.906979732177156,0.9072868469112998,0.9077899453638688,0.9078810665746647,0.9074435298186931,0.9072326017620932,0.906750631551508,0.9060600441435868,0.9051002695248899,0.9044190785916814,0.9033845722859559,0.8995235697294185,0.8840231798230517,0.8671220467824241,0.837204725391073,0.7690349595192061,0.6417406877489499,0.43409170592958096,0.19729525520763685,0.8158086552019336,0.9549590536851683,0.9546281743733973,0.9540904954917694,0.9538836959219125,0.9535941765241128,0.9534287368682273,0.9529324179005708,0.9522706592770287,0.9506162627181736,0.9486309868475473,0.9439986764827529,0.9371742906774754,0.9243940772603193,0.904830837951857,0.8683927537430722,0.801679212507238,0.6764413930019025,0.43725701050541815,0.11121680866903796,0.8491799852845779,0.9664308735507094,0.9660960194215394,0.9655518814616383,0.965342597630907,0.9650496002678833,0.9648821732032983,0.9643798920095433,0.9637101837512034,0.9620359131053535,0.9600267883303336,0.9553388305219539,0.948432464107823,0.9354987233686325,0.9157004729814574,0.8788246620066134,0.811309698212716,0.6845674103218785,0.442509731698129,0.11255284416725964,0.8593810926378355,0.9296915500848772,0.9300033057173337,0.9305188900201717,0.9306450391048023,0.9303977942084317,0.9302679004362159,0.9298516390251126,0.929322590441574,0.9286993238561225,0.9282058009787408,0.9276460506231605,0.9259591437575039,0.9171696864132516,0.9076108882819043,0.8899381412397229,0.8462941157099684,0.7523474603947389,0.5659155523444307,0.2803168364566117,0.8584632478470882,0.9560250196991564,0.9563341241005993,0.9565353144599559,0.9564842139819499,0.9562184228463232,0.9560865465293509,0.9557939888829322,0.9553565072112317,0.9545016215145087,0.9537906601309026,0.9525596827067909,0.9498041046773413,0.9399563896868234,0.9260079577317026,0.9021328180385783,0.8542979081303606,0.7603709660795882,0.5717890193994798,0.2806455694234447,0.8786679386963694,0.8697142735677587,0.8699886682781566,0.870408292976319,0.8705604536224603,0.8707567876120866,0.8708586872901515,0.8711436355979304,0.8714851170704175,0.8722543884974661,0.8730846729041637,0.8747796141123073,0.8769410857055118,0.880361465810455,0.884755636380168,0.8913379853239233,0.9007449178146961,0.9144369224387154,0.9350166136336913,0.9625905582351812,0.8858536724669243,0.9306602531275977,0.930656535086887,0.9306523296992599,0.9305981663649295,0.9302326943080376,0.9300438879664271,0.929554770714049,0.928878030519178,0.9275791263288337,0.9262612822784811,0.9234683755239701,0.9181559581077924,0.9039832916538133,0.8857758001868589,0.8526561539853369,0.7851874557950431,0.6588626296633454,0.435671483597407,0.14813017467665648,0.831947810504416,23089.0,23081.0,23068.0,23063.0,23056.0,23052.0,23040.0,23024.0,22984.0,22936.0,22824.0,22659.0,22350.0,21877.0,20996.0,19383.0,16355.0,10572.0,2689.0,20531.473684210527,1089.0,1097.0,1110.0,1115.0,1122.0,1126.0,1138.0,1154.0,1194.0,1242.0,1354.0,1519.0,1828.0,2301.0,3182.0,4795.0,7823.0,13606.0,21489.0,3646.5263157894738,802.0,810.0,823.0,828.0,835.0,839.0,851.0,867.0,907.0,955.0,1067.0,1232.0,1541.0,2014.0,2895.0,4508.0,7536.0,13319.0,21202.0,3359.5263157894738,0.9083050707254529,0.8719942758994345,0.9090495491769377,0.948589626933576,0.9599849315641874,0.927536231884058,0.043478260869565216,0.028985507246376812,0.7868801686555351,0.9542532609374025,0.9104761904761904,0.908997631214116,19999.188717753528,22935,1243,956,18,64,3,2,29.0,1050,0.9155588841041004,0.9101249069401935,0.9210581390481771,22005,2173,1886,59.59572299477386,0.7312358649665504,438.4503407467197,0.8367372915013734,94,69,524,23891,24178,94,69
MOT17-05-DPM,0.7896240605219841,0.8094150267561592,0.6391335800747088,0.7896240605219841,0.7883951522554151,0.7876888685624713,0.7868644000449613,0.7858386160050945,0.7852834729397566,0.7836984089961684,0.7809018973002243,0.7787323944355525,0.7760788940022262,0.7665615478413751,0.7503877742639528,0.7181366272691644,0.6692804147560073,0.5806709146667639,0.43967740833351004,0.2795406841196029,0.12793188794150478,0.019265161078182283,0.6418188729123115,0.8621079400960724,0.8568610876303184,0.8542487338210467,0.8506037629879247,0.8480089736399327,0.84593837535014,0.8428411633109619,0.8382147838214784,0.8320822907978871,0.8280166435506241,0.8159272526866905,0.7946623093681917,0.7521935655410795,0.6854219948849105,0.5720419847328244,0.4099272571673085,0.24386560966402415,0.09796734421859381,0.012755494083294914,0.6759835035449108,0.7232344442689429,0.725399863610105,0.7263150989781892,0.7279012990528075,0.728226174015716,0.7289776074020538,0.7287057431443057,0.7275077760224353,0.7288030869661057,0.7273989652345614,0.7201825955611326,0.7085799906786767,0.6856216791146771,0.6535189662992742,0.5894300071303639,0.47158665353148665,0.32043466147487515,0.16706146402988256,0.029096985890525177,0.6114727927582168,0.9088471849865952,0.9058683348227584,0.90437890974084,0.9022937146261543,0.900804289544236,0.8996127494787012,0.8978254393803992,0.8951444742329461,0.8915698540363419,0.8891867739052726,0.8820375335120644,0.8692284778075663,0.8427167113494192,0.7983318439082514,0.7143282692880548,0.570747691391123,0.38486744116770927,0.17515638963360142,0.0247244563598451,0.7504037125879937,0.9437055366532632,0.9406124342715744,0.93906588308073,0.9369007114135478,0.9353541602227033,0.9341169192700278,0.9322610578410145,0.9294772656974946,0.925765542839468,0.923291060934117,0.9158676152180637,0.9025672749768018,0.8750386637797711,0.8289514382926075,0.7417259511289823,0.5926384163315805,0.39962882771419733,0.18187442004330343,0.02567274976801732,0.7791850489198561,0.8666608689853814,0.8689651548909817,0.8696564572718855,0.8701821334264089,0.8705160481771191,0.8711549339854263,0.8706058403705653,0.8698466869196043,0.8708107895599713,0.8697568274946428,0.865314500046388,0.8583437333740549,0.8438509027445575,0.8212607257679847,0.7668114319053392,0.6611410154458228,0.495221121769671,0.28928264109633817,0.05796130209575823,0.7556496376488369,0.8146681973377068,0.8169691640883976,0.8180094523651423,0.8197468324593539,0.8202659764001555,0.8211133047763115,0.8211304998750137,0.8207562855536013,0.822268040077001,0.8215387179910655,0.8164194782123484,0.805275265087729,0.7836403155123445,0.752870652351691,0.6962940557009731,0.597600101544277,0.4511603023715797,0.27050422941378205,0.056286933529270965,0.7066588318235655,0.8094150267561592,0.8118277620629468,0.8129523631400218,0.8144109659157203,0.815386327001545,0.8161204225918455,0.8170992880678082,0.8184224080982223,0.8200229591517008,0.820950005170717,0.8233643802259529,0.8269792609044605,0.833300135144539,0.8421220653870028,0.8556622859391463,0.8754239812983187,0.8994066847207903,0.9287743396125745,0.9630760714152559,0.8423535122423542,0.8107463159084803,0.8106273906852284,0.8104715031031042,0.8104201175955351,0.8099316399003956,0.8098132807649964,0.8088575610189699,0.8069848608666601,0.8060886191155451,0.8042347538119409,0.797011969964729,0.7848043747982841,0.7601215999124005,0.7223053380632833,0.6488809727984622,0.5188034250021499,0.3511764061312724,0.17106105017325832,0.026821766493900404,0.677324365584663,3051.0,3041.0,3036.0,3029.0,3024.0,3020.0,3014.0,3005.0,2993.0,2985.0,2961.0,2918.0,2829.0,2680.0,2398.0,1916.0,1292.0,588.0,83.0,2519.1052631578946,306.0,316.0,321.0,328.0,333.0,337.0,343.0,352.0,364.0,372.0,396.0,439.0,528.0,677.0,959.0,1441.0,2065.0,2769.0,3274.0,837.8947368421053,182.0,192.0,197.0,204.0,209.0,213.0,219.0,228.0,240.0,248.0,272.0,315.0,404.0,553.0,835.0,1317.0,1941.0,2645.0,3150.0,713.8947368421053,0.8135239797438188,0.8203643508211607,0.8182901400059577,0.890676198987191,0.9248376121249613,0.7183098591549296,0.18309859154929578,0.09859154929577464,0.6535267825306138,0.9074355083459787,0.2903225806451613,0.8179314507051964,2452.8894089552705,2990,367,243,16,51,13,7,16.0,837,0.7745068285280728,0.7602025618111409,0.7893597278069904,2552,805,681,42.06886899588278,0.6141440729325953,315.17594803986253,0.7540094450714415,66,71,418,3233,3357,66,71
MOT17-09-DPM,0.8295808252796982,0.8477986124264137,0.7033174725676873,0.8295808252796982,0.8295808252796982,0.8294346852695873,0.8291462984721037,0.8291462984721037,0.8291462984721037,0.8291462984721037,0.8287255188467998,0.8263211865821124,0.8220995794671156,0.8164293468946398,0.8033661880965738,0.7906353523811669,0.7525671123989331,0.6847453237449512,0.555248667984357,0.37714311799608935,0.19397819591172963,0.04182860027567725,0.6999089326472392,0.8716356107660456,0.8716356107660456,0.8709899965505347,0.8697001034126164,0.8697001034126164,0.8697001034126164,0.8697001034126164,0.8690558235699517,0.8651994497936726,0.8588074023303632,0.8505629477993859,0.8342915116672303,0.8195236497819524,0.7760314341846758,0.7029827315541601,0.5581729388106866,0.36042136945071485,0.1735179575941151,0.034324942791762014,0.7261028311085137,0.7895551044167527,0.7895551044167527,0.7898619959504253,0.7904835029596685,0.7904835029596685,0.7904835029596685,0.7904835029596685,0.7902668240190638,0.7891899417611763,0.7869607513001217,0.7836655478531642,0.7735871972220737,0.7627653705920642,0.7298122649625682,0.6669810471076334,0.5523397174275552,0.39464067202392145,0.21685098770690875,0.050972606469785534,0.6752073234246655,0.877387981938173,0.877387981938173,0.8770406391108023,0.8763459534560611,0.8763459534560611,0.8763459534560611,0.8763459534560611,0.8759986106286906,0.8739145536644668,0.8704411253907607,0.8659256686349427,0.8568947551233067,0.8485585272664119,0.8232025008683571,0.7777005904828065,0.6748871135811045,0.49913164293157347,0.27856894755123307,0.06252170892671066,0.7602603243085135,0.9925343811394892,0.9925343811394892,0.9921414538310412,0.9913555992141454,0.9913555992141454,0.9913555992141454,0.9913555992141454,0.9909626719056974,0.9886051080550098,0.9846758349705305,0.9795677799607073,0.9693516699410609,0.9599214145383104,0.931237721021611,0.8797642436149312,0.7634577603143419,0.5646365422396856,0.3151277013752456,0.07072691552062868,0.8600351566539137,0.8484160370065116,0.8484160370065116,0.8487433200185069,0.8494091406664113,0.8494091406664113,0.8494091406664113,0.8494091406664113,0.8492319451249244,0.8482894669866424,0.8464164029901174,0.8432129871879286,0.8363114771571459,0.8290234947562947,0.8083011569792178,0.7659550311118704,0.6840505965546325,0.5474726715263567,0.3441943780867548,0.0926987961522085,0.7493879137532247,0.883247215429713,0.883247215429713,0.8835802349679601,0.8842672195755111,0.8842672195755111,0.8842672195755111,0.8842672195755111,0.8840297954566048,0.8827427548728939,0.8806572215947199,0.8787436316294427,0.8729097055196834,0.866349084951118,0.8440125547820618,0.8037545200743825,0.7126041593884321,0.5608997412875099,0.354833840946023,0.10213727703896461,0.7805693595616457,0.8477986124264137,0.8477986124264137,0.8480759288627081,0.8486069521527773,0.8486069521527773,0.8486069521527773,0.8486069521527773,0.8487873283828224,0.8497825461537539,0.8512797092134629,0.8529400255621655,0.8558235775542157,0.8581174002107376,0.8636666041423113,0.8716119457612357,0.8858211741878056,0.9071487673912129,0.9320545166860523,0.9628757453196033,0.8672637001522118,0.8323137387387031,0.8323137387387031,0.8323106810186296,0.8323082476417484,0.8323082476417484,0.8323082476417484,0.8323082476417484,0.8320292301756278,0.8304725014777461,0.8276490814349016,0.8237694541016436,0.8141761553436295,0.8045191480129114,0.7751021104871191,0.7202163245695331,0.6105464418133035,0.4438216387186638,0.24578029095303583,0.056452585989834866,0.7163529532705778,2526.0,2526.0,2525.0,2523.0,2523.0,2523.0,2523.0,2522.0,2516.0,2506.0,2493.0,2467.0,2443.0,2370.0,2239.0,1943.0,1437.0,802.0,180.0,2188.7894736842104,353.0,353.0,354.0,356.0,356.0,356.0,356.0,357.0,363.0,373.0,386.0,412.0,436.0,509.0,640.0,936.0,1442.0,2077.0,2699.0,690.2105263157895,19.0,19.0,20.0,22.0,22.0,22.0,22.0,23.0,29.0,39.0,52.0,78.0,102.0,175.0,306.0,602.0,1108.0,1743.0,2365.0,356.2105263157895,0.8641889544980896,0.8472338215157288,0.8680097255991663,0.8759986106286906,0.9909626719056974,0.7727272727272727,0.18181818181818182,0.045454545454545456,0.7303659943948134,0.9299410029498525,0.04380952380952381,0.8676480053195004,2136.723697862668,2522,357,23,11,17,4,1,10.0,525,0.8329646017699115,0.7846474470302188,0.88762278978389,2259,620,286,15.390716347195882,0.699578015781631,208.01579907745236,0.7939534315933297,22,22,262,2545,2879,22,22
MOT17-10-DPM,0.7640885886561396,0.7676394647450622,0.586544555213809,0.7640885886561396,0.7636246538255302,0.762623626720616,0.7603663450737598,0.7583637021924767,0.75649588879469,0.7551608449774525,0.7501781388692436,0.7431967243040991,0.7270230910664561,0.707691783059009,0.6727360624150979,0.6104254182956593,0.5313066118463254,0.44553758881128835,0.32319404726949896,0.1870500845092933,0.07801463636561576,0.012016759021037705,0.5846891892670152,0.7980801059251903,0.7971877584780811,0.795702479338843,0.7933311323869264,0.7909660402242005,0.7880184331797235,0.7856673241288626,0.7795249795249796,0.7705345501955672,0.7491547254870391,0.7233502538071066,0.6786155747836835,0.5990579923461878,0.49848275862068964,0.3919282511210762,0.2587185725871857,0.1342660263102944,0.04966183574879227,0.006298629121896999,0.5888709170166487,0.7315448248615508,0.7314746190325425,0.7309199243865099,0.728771322740486,0.7271051796864277,0.7262343184715155,0.7258388942411031,0.7219361211237343,0.7168288182225638,0.70554527250722,0.6923722735608433,0.6669074900292902,0.6220085468555085,0.5662918343910512,0.506479802045334,0.40373750962636823,0.26058516123859693,0.12255454103722432,0.022926020023576247,0.5847401302148129,0.8141144690190781,0.8136079689346615,0.8127638021273004,0.8114131352355225,0.8100624683437447,0.8083741347290224,0.8070234678372447,0.8034779672463279,0.7982441330406889,0.7855816309302718,0.7698801283133547,0.7415161235860206,0.6871517811919635,0.610163768360628,0.5164612527435422,0.3770048961674827,0.2171197028532838,0.08678034779672464,0.01148066858011143,0.635906413001946,0.9759158065168995,0.9753086419753086,0.9742967010726573,0.9726775956284153,0.9710584901841732,0.9690346083788707,0.9674155029346286,0.9631653511434932,0.9568913175470553,0.941712204007286,0.922890103217972,0.8888888888888888,0.8237198947581461,0.731430884436349,0.6191054442420563,0.451932807124064,0.2602712001619105,0.10402752479255212,0.013762396276057479,0.7622897559624624,0.7607081325479319,0.7607795911139991,0.7605153653471526,0.7590923691752924,0.7579691827538392,0.7572870009087939,0.7567990873228806,0.7541840861506474,0.7510245266662084,0.7438656453879653,0.7349810067006382,0.7175985709350655,0.6856827522234932,0.644880095318608,0.5952739081432203,0.5061869874435474,0.36843664597863957,0.20197250238736403,0.043188084805429405,0.6347592390163536,0.9088281576166239,0.9089924899961238,0.9088498272393205,0.9074012288338285,0.9060974572515686,0.9049634427984803,0.9045799282450526,0.9017098888814336,0.8969280079022721,0.8863242848540273,0.8746601663202794,0.8505775340307358,0.8055536085505185,0.7501368301322036,0.6938174303677233,0.5844505936449859,0.4232276521720903,0.22429760352432265,0.04571384730420053,0.7519531568245154,0.7676394647450622,0.7680622840790049,0.7687238750176464,0.7697071144144169,0.7706081700722678,0.7716321934038564,0.7723612799599928,0.7741367404783641,0.776386754422432,0.7812404276051412,0.7864119952731187,0.7943780750191841,0.8077052348306146,0.8240454681553878,0.84152157068826,0.8658325553097369,0.8950614681929565,0.926651581661425,0.9599529327779881,0.8116873255845714,0.7717261344906079,0.7714490126497812,0.7707562888455589,0.7689828501693627,0.767463755888387,0.7662043061774925,0.765355487026523,0.7616165485874088,0.756441933356852,0.7444886875375374,0.7300983870750786,0.7032230491081772,0.653769287201829,0.5878186452162746,0.5114461780614207,0.39014230467306027,0.23786166731127403,0.10312771545650708,0.01622362591259048,0.6093787297234591,4822.0,4819.0,4814.0,4806.0,4798.0,4788.0,4780.0,4759.0,4728.0,4653.0,4560.0,4392.0,4070.0,3614.0,3059.0,2233.0,1286.0,514.0,68.0,3766.4736842105262,1101.0,1104.0,1109.0,1117.0,1125.0,1135.0,1143.0,1164.0,1195.0,1270.0,1363.0,1531.0,1853.0,2309.0,2864.0,3690.0,4637.0,5409.0,5855.0,2156.5263157894738,119.0,122.0,127.0,135.0,143.0,153.0,161.0,182.0,213.0,288.0,381.0,549.0,871.0,1327.0,1882.0,2708.0,3655.0,4427.0,4873.0,1174.5263157894738,0.7519837919972987,0.7795925189750629,0.7548539591423266,0.7945297990882998,0.9524387775753896,0.4722222222222222,0.4722222222222222,0.05555555555555555,0.5768634803809971,0.8663475699558174,0.35932721712538224,0.7546462183148104,3668.762394296646,4706,1217,235,17,17,17,2,57.0,654,0.7754050073637703,0.7111261185210197,0.8524590163934426,4212,1711,729,23.747038918723508,0.5654056885410359,223.8722138382327,0.6867245823258672,48,36,326,4941,5923,48,36
